measure_date,station,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
2018-03-11,WE2,0.008,0.135,0.001,0.003,0.002,0.111,0.088,0.044,0.033,0.022,0.019,0.015,0.014
2018-03-16,WE2,0.008,0.137,0.001,0.003,0.002,0.115,0.1,0.055,0.04,0.023,0.02,0.016,0.013
2018-03-26,WE2,0.012,0.158,0.001,0.005,0.004,0.14,0.136,0.13,0.124,0.078,0.072,0.06,0.047
2018-04-05,WE2,0.012,0.157,0.002,0.008,0.005,0.139,0.13,0.103,0.086,0.046,0.041,0.035,0.027
2018-04-10,WE2,0.025,0.2,0.002,0.022,0.017,0.179,0.156,0.088,0.071,0.053,0.051,0.044,0.041
2018-04-20,WE2,0.01,0.153,0.001,0.005,0.004,0.138,0.133,0.098,0.077,0.038,0.035,0.028,0.022
2018-04-30,WE2,0.011,0.134,0.001,0.006,0.004,0.112,0.098,0.054,0.041,0.027,0.024,0.02,0.017
2018-05-25,WE2,0.008,0.124,0.001,0.004,0.003,0.098,0.093,0.058,0.061,0.031,0.029,0.022,0.018
2018-06-04,WE2,0.014,0.138,0.001,0.03,0.025,0.121,0.112,0.081,0.068,0.049,0.049,0.044,0.043
2018-06-14,WE2,0.013,0.142,0.002,0.026,0.022,0.128,0.123,0.083,0.068,0.047,0.047,0.042,0.04
2018-06-24,WE2,0.009,0.174,0.001,0.029,0.023,0.157,0.15,0.123,0.102,0.063,0.065,0.055,0.05
2018-06-29,WE2,0.007,0.135,0.001,0.011,0.007,0.111,0.099,0.067,0.056,0.036,0.035,0.028,0.027
2018-07-09,WE2,0.012,0.131,0.001,0.018,0.017,0.108,0.096,0.062,0.053,0.039,0.038,0.032,0.031
2018-08-03,WE2,0.008,0.145,0.001,0.008,0.005,0.117,0.104,0.058,0.051,0.037,0.035,0.029,0.027
2018-08-13,WE2,0.006,0.134,0.001,0.007,0.005,0.108,0.096,0.051,0.044,0.031,0.029,0.024,0.023
2018-08-18,WE2,0.01,0.154,0.001,0.01,0.004,0.128,0.114,0.069,0.062,0.046,0.045,0.036,0.035
2018-08-23,WE2,0.007,0.128,0,0.005,0.003,0.101,0.092,0.052,0.053,0.03,0.03,0.023,0.02
2018-08-28,WE2,0.135,0.293,0.004,0.192,0.195,0.173,0.183,0.174,0.182,0.183,0.203,0.108,0.218
2018-09-02,WE2,0.005,0.137,0,0.006,0.004,0.113,0.107,0.053,0.044,0.028,0.028,0.021,0.02
2018-10-22,WE2,0.008,0.131,0.002,0.006,0.004,0.1,0.077,0.044,0.035,0.025,0.023,0.02,0.018
2019-03-26,WE2,0.008,0.147,0.001,0.003,0.002,0.131,0.132,0.121,0.106,0.053,0.048,0.039,0.028
